anio,puntuacion_usuarios
2010,3.591250854408749
2011,3.61128812016386
2012,3.6401681286549707
2013,3.6614926309187834
2014,3.705228191796649
2015,3.751797603195739
2016,3.7933660299432113
2017,3.8338380015140046
2018,3.8725931482870717
2019,3.9126403123474867
2020,3.9517320427916456
2021,3.9701935483870967
2022,3.9926715522984675
2023,4.250910857420452
2024,4.276118171315399
