general_category,id_general_category
Comida americana,1
Bares y Vida Nocturna,2
Cocina Europea,3
Restaurantes y servicios,4
Otros,5
Gastronomía y Eventos,6
Comida rápida,7
Comida de mar,8
"Postres, Snacks y cafeterias",9
Cocina Caribeña y Latina,10
Cocina Asiática,11
Comida Vegetariana,12
Parrilladas y Carnes,13
Comida especializada,14
Cocina Suramericana,15
Cocina Africana,16
