id_servicios_restaurantes,servicios_restaurantes
N8KS0,ybor city food tours
674Y4,hair force
V9NJX,pepos cuban cafe
JP2ML,brick  mortar
7FM8A,shenaniganz chill and grill
WYDY9,boizao
GLY1P,china sea
6ZSLJ,papa johns pizza
1TYSW,asian kitchen
MHYFV,starbucks
VGSNL,sips specialty coffee house
ISQ0L,sushiharu
EMRC5,homestyle deli  pizza resturant
USE7K,isaacs world famous
RU93V,little road farm stand
PIE2E,seasons cafe  bakery
CSGO8,louis pappas fresh greek
Y3EEE,applebees grill  bar
JS4A4,marcos pizza
4V0YA,red mesa restaurant
N3WGP,grand hyatt tampa bay
3DQ85,los comales
1SLT1,keiths oaks bar  grill
NUV8U,jimmy johns
53XV2,mcalisters deli
PX7K4,five guys
CI738,the honu
GII8Y,tangelos grille
RP7ZW,room 901
JP1IF,acapulco loco
8PCJP,italian club
Q52HP,ohana cafe
XPVNB,green iguana bar  grill
BVTQ1,queen of sheba
5TFW6,tapper pub
PAAYX,pop n sons diner
KTZ13,big island poke
D6S4E,islamorada fish company restaurant
L4X2G,bay city sandwich shop
GD0GS,ratchada thai restaurant and sushi bar
XEVOR,body fuel
9G9HS,gators dockside  tampa
ICCVS,sushi ushi
GA8MO,outback steakhouse
FN9YJ,rumfish grill
YNAYE,tampa bay brewing company westchase
FSAJX,mellow mushroom  brandon
RFJ55,old town cafe
DBTWQ,the london bus pub
GIK0M,dickies bbq
XL7GZ,sushi sho rexley
P9L6C,mr sebas
JP7Y7,r2 barber shop
KRLKL,sushi zen
YJTZK,hablo taco
WU8Y4,kuba
PSXL2,salute italian restaurant
AA324,ihop
W7OL8,dharma kava lounge
DID9U,sylvias queen of soul food
ZJRMA,inside the box
U4QAO,winghouse bar  grill
HDDDG,crown  bull
EMFLZ,parthenon restaurant  bakery
GFIH3,jays cuban and mini mart
DBEBP,joto thaisushi clearwater
X1IXS,victors kitchen
HD1JV,district tavern
BZ8V3,taps deli  brewhouse
AIC9G,palm avenue sandwich shop
B6JKQ,cheese zzz
GAWPD,dicks bbq
FTIH7,delosas new york pizza
9PVYO,cellini
01JUT,cru cellars  palma ceia
FPOH7,three brothers bar  grill
05HTY,ruby tuesday
G2I7L,egg platter
29WO4,china house
SRN74,hungry howies pizza  subs
92501,sundays fine dining
WHXZD,estelas mexican restaurant
DMW4I,queens pizza
P5ZOS,bad monkey
FBX81,the tamiami
OH37C,cuenellis peruvian restaurant
NBKVM,hooters
909MS,clock restaurant
4KC8P,bavaros pizza napoletana and pastaria
4MBDA,tiny tap tavern
FCYHV,hellas restaurant
ZHG77,hott mess cafe
LWJ02,taco rey
9KD2V,panera bread
AG1XH,wildflower cafe
HYOBD,franks pizza  restaurant
ZWZYL,moes southwest grill
EI2ML,cafe de marco
IVLV3,sams beach bar
WU66B,fiesta taqueria
H067Q,rusty pelican  tampa
3TTOC,stacies cottage cafe
X30H6,meis world pizza
GWU35,thai cuisine
9HK5H,publix super markets
BOKMG,feather sound country club
I637Y,trophy fish
LBG50,aquafinz
L9PY8,boston market
WDZXL,tsunami sushi  hibachi grill
YW0S9,coast tampas bay cuisine
HMJUA,windmill taphouse
2957Y,thai delight
S4QFT,saigon corner
QTGOH,pizza fusion at skypoint
NEKY8,chicago deli  coney dogs
PZ0Y5,china gate take out restaurant
JPDB5,twisted olive
DOECM,mo ziki
LY0LL,mazzaros italian market
F4S2N,another broken egg cafe
D0PMV,rum runners
H9DSQ,suite six
73A9I,sabor del caribe
AOY9F,sculleys waterfront restaurant
86KB6,cafe soleil
WRPU8,kekes breakfast cafe
U6MY3,orchids thai restaurant
04WHM,grand deli  subs
ZMWAC,cafe ponte
VH8PB,tropiccool
30CHD,saki endless sushi  hibachi eatery
AEKFT,codys original roadhouse
1XAM2,savvy jacks southern
A90YY,joeys new york pizza and italian restaurant
O5UL7,gios
EJIFB,pancheros mexican grill
AOKKN,ted peters famous smoked fish
355Z9,kelly days firehouse tavern
UH86Z,mecafresh
AYNO7,alpha pizzeria
