id_trasporte,trasporte,direccion,id_condado,condado,codigo_postal_condado,latitud_condado,longitud_condado,id_ciudad,ciudad,codigo_postal_ciudad,latitud_ciudad,longitud_ciudad,estado,atributos,categorias,puntuacion_usuarios,numero_de_reviews,analisis_sentimientos,anio
JXAA9,American Joe's Car Service,4245 US-19,8iUB,Pasco,"34637, 34652, 34668",28.3232418,-82.4319405,3IHW,New Port Richey,34652,28.2212361,-82.7357876,Florida,,,,,neutral,2024
S8KD5,Pinnacle Wheel Works,2251 Ringling Blvd,WEC5,Sarasota,"34231, 34236, 34243",27.1995986,-82.345189,SYJL,Sarasota,34237,27.3358537,-82.5253008,Florida,,,,,positivo,2024
HX8JV,Pinnacle Wheel Works,2251 Ringling Blvd,WEC5,Sarasota,"34231, 34236, 34243",27.1995986,-82.345189,SYJL,Sarasota,34237,27.3358537,-82.5253008,Florida,,,,,negativo,2024
38HF0,Pinnacle Wheel Works,2251 Ringling Blvd,WEC5,Sarasota,"34231, 34236, 34243",27.1995986,-82.345189,SYJL,Sarasota,34237,27.3358537,-82.5253008,Florida,,,,,neutral,2024
HPJTG,Ringling Bicycles,3606 Manatee Ave W,mze2,Manatee,"34205, 34221, 34211",27.4799195,-82.345189,CQN2,Bradenton,34205,27.4959162,-82.5969188,Florida,,,,,positivo,2024
4O9LA,Ringling Bicycles,3606 Manatee Ave W,mze2,Manatee,"34205, 34221, 34211",27.4799195,-82.345189,CQN2,Bradenton,34205,27.4959162,-82.5969188,Florida,,,,,neutral,2024
B0WL8,Nextcar,3256 NW 24th Street Rd,WjZA,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,LO98,Miami,33142,25.795948,-80.2485122,Florida,,,,,negativo,2024
3RW6B,Nextcar,3256 NW 24th Street Rd,WjZA,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,LO98,Miami,33142,25.795948,-80.2485122,Florida,,,,,positivo,2024
R5VIF,Nextcar,3256 NW 24th Street Rd,WjZA,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,LO98,Miami,33142,25.795948,-80.2485122,Florida,,,,,neutral,2024
TASF0,Metro Discount Airport Parking,2277 Airport Blvd,yT3Z,Escambia,"32501, 32506, 32514",30.6389408,-87.3413599,YOYE,Pensacola,32504,30.4746077,-87.199589,Florida,,,,,positivo,2024
I1ENK,Metro Discount Airport Parking,2277 Airport Blvd,yT3Z,Escambia,"32501, 32506, 32514",30.6389408,-87.3413599,YOYE,Pensacola,32504,30.4746077,-87.199589,Florida,,,,,neutral,2024
QZ5SB,Metro Discount Airport Parking,2277 Airport Blvd,yT3Z,Escambia,"32501, 32506, 32514",30.6389408,-87.3413599,YOYE,Pensacola,32504,30.4746077,-87.199589,Florida,,,,,negativo,2024
0L9HR,Miami Homestead General Aviation Airport,28700 SW 217th Ave,KXHY,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,7QG8,Homestead,33030,25.5013248,-80.5539894,Florida,,,,,positivo,2024
WR2L5,Miami Homestead General Aviation Airport,28700 SW 217th Ave,KXHY,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,7QG8,Homestead,33030,25.5013248,-80.5539894,Florida,,,,,neutral,2024
W9T3H,Bruce's Taxi Service Co.,5418 26th St W,mze2,Manatee,"34205, 34221, 34211",27.4799195,-82.345189,CQN2,Bradenton,34207,27.4451009,-82.5881435,Florida,,,,,positivo,2024
0RN8L,Bruce's Taxi Service Co.,5418 26th St W,mze2,Manatee,"34205, 34221, 34211",27.4799195,-82.345189,CQN2,Bradenton,34207,27.4451009,-82.5881435,Florida,,,,,negativo,2024
ENBW9,Bruce's Taxi Service Co.,5418 26th St W,mze2,Manatee,"34205, 34221, 34211",27.4799195,-82.345189,CQN2,Bradenton,34207,27.4451009,-82.5881435,Florida,,,,,neutral,2024
