id_centros_tiendas_negocio,centros_tiendas_negocio,direccion,id_condado,condado,codigo_postal_condado,latitud_condado,longitud_condado,id_ciudad,ciudad,codigo_postal_ciudad,latitud_ciudad,longitud_ciudad,estado,atributos,categorias,puntuacion_usuarios,numero_de_reviews,analisis_sentimientos,anio
RKWCY,7-Eleven,4501 Conroy Rd,7nl7,Orange,"32801, 32839, 32789",28.4844995,-81.2518833,O990,Orlando,32811,28.4953433,-81.4359674,Florida,,,,,negativo,2024
RKWCY,7-Eleven,4501 Conroy Rd,7nl7,Orange,"32801, 32839, 32789",28.4844995,-81.2518833,O990,Orlando,32811,28.4953433,-81.4359674,Florida,,,,,positivo,2024
RKWCY,7-Eleven,4501 Conroy Rd,7nl7,Orange,"32801, 32839, 32789",28.4844995,-81.2518833,O990,Orlando,32811,28.4953433,-81.4359674,Florida,,,,,neutral,2024
BBHA0,Speedway,10024 Lee Vista Blvd,7nl7,Orange,"32801, 32839, 32789",28.4844995,-81.2518833,O990,Orlando,32829,28.4778856,-81.2464832,Florida,,,,,neutral,2024
BBHA0,Speedway,10024 Lee Vista Blvd,7nl7,Orange,"32801, 32839, 32789",28.4844995,-81.2518833,O990,Orlando,32829,28.4778856,-81.2464832,Florida,,,,,positivo,2024
F8DVJ,Bath Cottage,425 Brevard Ave,3QGC,Brevard,"32901, 32940, 32955",28.263933,-80.7214417,URV5,Cocoa,32922,28.3541121,-80.7263625,Florida,,,,,negativo,2024
69HOK,Bath Cottage,425 Brevard Ave,3QGC,Brevard,"32901, 32940, 32955",28.263933,-80.7214417,URV5,Cocoa,32922,28.3541121,-80.7263625,Florida,,,,,positivo,2024
G8BD5,Bath Cottage,425 Brevard Ave,3QGC,Brevard,"32901, 32940, 32955",28.263933,-80.7214417,URV5,Cocoa,32922,28.3541121,-80.7263625,Florida,,,,,neutral,2024
9ARP1,Irene's Ice Cream & Deli,4120 Corley Island Rd,en2X,Lake,"32757, 32778, 34748",28.702847,-81.7787021,L98X,Leesburg,34748,28.7739878,-81.8855477,Florida,,,,,positivo,2024
FIL11,Irene's Ice Cream & Deli,4120 Corley Island Rd,en2X,Lake,"32757, 32778, 34748",28.702847,-81.7787021,L98X,Leesburg,34748,28.7739878,-81.8855477,Florida,,,,,negativo,2024
A1WKA,Irene's Ice Cream & Deli,4120 Corley Island Rd,en2X,Lake,"32757, 32778, 34748",28.702847,-81.7787021,L98X,Leesburg,34748,28.7739878,-81.8855477,Florida,,,,,neutral,2024
5ILTM,Workscapes,501 E Kennedy Blvd #100,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,33602,27.9481722,-82.4555194,Florida,,,,,positivo,2024
RSIA1,Workscapes,501 E Kennedy Blvd #100,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,33602,27.9481722,-82.4555194,Florida,,,,,neutral,2024
BVTPJ,CVS,10001 Sheridan St,SHJO,Broward,"33004, 33301, 33324",26.190096,-80.365865,D3WC,Hollywood,33024,26.0308751,-80.2799172,Florida,,,,,negativo,2024
K0JNS,CVS,10001 Sheridan St,SHJO,Broward,"33004, 33301, 33324",26.190096,-80.365865,D3WC,Hollywood,33024,26.0308751,-80.2799172,Florida,,,,,neutral,2024
GQKTC,CVS,10001 Sheridan St,SHJO,Broward,"33004, 33301, 33324",26.190096,-80.365865,D3WC,Hollywood,33024,26.0308751,-80.2799172,Florida,,,,,positivo,2024
M8420,Kangaroo Express,1209 Monument Rd,IgGD,Duval,"32202, 32210, 32246",30.3500511,-81.6035062,LMW4,Jacksonville,32225,30.3420568,-81.5376676,Florida,,,,,positivo,2024
EIBUK,Kangaroo Express,1209 Monument Rd,IgGD,Duval,"32202, 32210, 32246",30.3500511,-81.6035062,LMW4,Jacksonville,32225,30.3420568,-81.5376676,Florida,,,,,neutral,2024
C3X7F,Kangaroo Express,1209 Monument Rd,IgGD,Duval,"32202, 32210, 32246",30.3500511,-81.6035062,LMW4,Jacksonville,32225,30.3420568,-81.5376676,Florida,,,,,negativo,2024
3INSO,Latinos Market,16200 San Carlos Blvd #130,rvKi,Lee,"33901, 33908, 33919",26.6630286,-81.9534815,25ZR,Fort Myers,33908,26.505623,-81.944488,Florida,,,,,positivo,2024
64DAR,Latinos Market,16200 San Carlos Blvd #130,rvKi,Lee,"33901, 33908, 33919",26.6630286,-81.9534815,25ZR,Fort Myers,33908,26.505623,-81.944488,Florida,,,,,neutral,2024
K0PBX,City Mattress Outlet,11521 S Cleveland Ave,rvKi,Lee,"33901, 33908, 33919",26.6630286,-81.9534815,25ZR,Fort Myers,33907,26.5719966,-81.8713912,Florida,,,,,positivo,2024
FNCR3,City Mattress Outlet,11521 S Cleveland Ave,rvKi,Lee,"33901, 33908, 33919",26.6630286,-81.9534815,25ZR,Fort Myers,33907,26.5719966,-81.8713912,Florida,,,,,neutral,2024
YJ559,Red Barn Furniture,513 SE Monterey Rd,CzGE,Martin,"34994, 34997, 34957",27.0804935,-80.4103957,J1VX,Stuart,34994,27.175838,-80.246111,Florida,,,,,negativo,2024
DNR62,Red Barn Furniture,513 SE Monterey Rd,CzGE,Martin,"34994, 34997, 34957",27.0804935,-80.4103957,J1VX,Stuart,34994,27.175838,-80.246111,Florida,,,,,positivo,2024
PMZET,Red Barn Furniture,513 SE Monterey Rd,CzGE,Martin,"34994, 34997, 34957",27.0804935,-80.4103957,J1VX,Stuart,34994,27.175838,-80.246111,Florida,,,,,neutral,2024
HS9FE,Buttercup Gourmet Bakery,4122 Florida Ave S,bAiC,Polk,"33801, 33813, 33880",27.8617347,-81.6911559,UD7Y,Lakeland,33813,27.9904332,-81.956288,Florida,,,,,positivo,2024
3GWYM,Buttercup Gourmet Bakery,4122 Florida Ave S,bAiC,Polk,"33801, 33813, 33880",27.8617347,-81.6911559,UD7Y,Lakeland,33813,27.9904332,-81.956288,Florida,,,,,neutral,2024
485O7,Buttercup Gourmet Bakery,4122 Florida Ave S,bAiC,Polk,"33801, 33813, 33880",27.8617347,-81.6911559,UD7Y,Lakeland,33813,27.9904332,-81.956288,Florida,,,,,negativo,2024
34NBK,LA LATINA DELICIOSA,5220 NW 72nd 8A Ave,WjZA,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,LO98,Miami,33166,25.821022,-80.315226,Florida,,,,,positivo,2024
PU8VP,LA LATINA DELICIOSA,5220 NW 72nd 8A Ave,WjZA,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,LO98,Miami,33166,25.821022,-80.315226,Florida,,,,,neutral,2024
VOU86,Discount Beverage,5207 US-19,gHZf,Manatee,"34205, 34221, 34211",27.4799195,-82.345189,WJ3L,Palmetto,34221,27.5612371,-82.5651067,Florida,,,,,positivo,2024
OC1YB,Discount Beverage,5207 US-19,gHZf,Manatee,"34205, 34221, 34211",27.4799195,-82.345189,WJ3L,Palmetto,34221,27.5612371,-82.5651067,Florida,,,,,negativo,2024
DJL4V,Discount Beverage,5207 US-19,gHZf,Manatee,"34205, 34221, 34211",27.4799195,-82.345189,WJ3L,Palmetto,34221,27.5612371,-82.5651067,Florida,,,,,neutral,2024
