id_nombre,nombre,nombre_normalizado
EISC,Fitness quest physical therapy-palmetto,
CL28,"Ama medical group, llc",
NOVC,Brandon psychiatric group - brandon location,
SVIE,Endodontic associates,
TVDP,Ultra smile dentistry,
7H4P,Central florida dreamplex,
25F3,"Thomas lang, md, msc",
ZTF2,Animal diagnostic & wellness center,
GFEJ,Comprehensive medpsych systems,
AVML,Serene behavioral health,
UBSG,Dr. stephen rothenberg -dds dental care),
H1EI,Scripts pharmacy - orlando health heart institute,
WPJH,Publix pharmacy at oak valley shopping center,
OD6W,Z medical center,
3VVT,Gables pediatrics,
6LOO,Tlc laser eye centers,
IXSY,New tampa dental,
0TJR,Relentless by robyn thrasher fitness,
HLUA,Spring haven dental,
2MF4,“dynamic energy and nutrition” “the den”,
E61H,Ray's pharmacy,
B1TY,Redbird dental care: dr. rita claro,
9XVK,Florida dental centers,
8P60,Woodland dental care,
MB2A,True health - alafaya,
WYW9,Sunshine dental center,
4DKW,Physical therapy specialists at davenport,
64HE,"Dr. daniel a. delcastillo, dmd pa",
7KJP,James family dentistry,
LI5D,Arc acupuncture & physical therapy,
3AWY,Family eye health,
P3PF,Annie l. weaver health center,
G4FY,Long chiropractic & rehab center,
5ML5,Sanitas medical center,
0PZX,"Atlantic health medical associates: volrick d. morrison, do",
JITX,Dr. constantin fiacos-cf smiles,
OO63,Royal pharmacy,
X7DF,Millhopper pediatric dentistry,
D2EM,"Darold leto, d.c.",
Y3CV,Community medical group,
2WVD,Animal emergency clinic of deerfield beach,
43ZM,Vital health wellness center,
G39K,Safety harbor family dentistry,
QC2U,Tattoo company,
2LDH,Next step rehabilitation,
ZMJ0,Roseland animal hospital,
FM2Q,Advanced dermatology and cosmetic surgery - marathon,
1K5N,Bay street pharmacy,
Y0G5,Falco hair salon & beauty spa,
WAR2,Dr. felicia duran,
XLP5,Sarasota veterinary emergency & specialty center,
414R,Today's dental | greg engelman dmd,
V2WA,South dental doral,
U7OF,Pembroke square dental,
MMZQ,Dr. jose perez-gurri | miami plastic surgeon,
H8I5,All critters animal clinic,
IO1X,Publix pharmacy at 18biscayne shopping center,
AG2I,Orlando health cancer institute downtown,
4MXE,Elite dental of clermont,
O9MT,Blush beauty center,
Y1RH,Garrison animal hospital,
HPVT,Bayfront health medical group ob/gyn,
S0EZ,Impressions' nails n lashes,
B96I,I wellness center,
5OZ4,Jonesville animal hospital,
TIOT,Venice dental care,
QK2B,Walgreens pharmacy,
I493,"Lake ob-gyn associates of mid-florida, llc",
7AVZ,"Dr. kapil saigal, md, facs",
QMJO,Winter haven family & cosmetic dentistry,
EQD7,Economy dentistry,
5N0Y,Tampa bay smile makers,
HJ35,Verity health center,
9CKC,Sajune institute for restorative and regenerative medicine,
G3HS,San marco hair company,
PTEX,Buckenheimer & bulnes,
6AQT,"Otero dental centers of homestead dr. rolando marty, dr. alexis m. otero and dr. adrian gonzalez",
OPMY,"Otero dental centers of lejeune- dr. antonio otero, dr. rolando marty and dr. alexis m. otero",
MK9D,Tampa woman's health center,
IZ14,Legacy pharmacy,
39EG,Tgh specialty center at healthpark,
HKB1,Farmacia nu-mart,
HS4S,Pediatric smiles,
QAIE,Lago's esthetics,
GY3F,Gc dental arts,
E4XP,Francisco e. arevalo d.m.d.,
Q60R,Divine dermatology,
7CAB,Sindledecker dentistry,
YHYJ,Oc smiles,
3UK0,"Cooper city family dentistry - dentist in cooper city, fl",
8KH7,Emerald hills pharmacy,
ICUG,Lazzara orthodontics,
H9KO,South orlando dental center,
7NOL,Jackson dentistry,
80MC,The recovery village drug and alcohol rehab,
SZJ2,Advanced spine & injury center,
1E4C,Tön vangard,
N7X8,The falls animal clinic,
A2YQ,Tampa top acupuncture & herbs llc,
LC91,Family practice of suntree and viera,
CMLJ,Carr pediatric dentistry,
W2YP,Gulfcoast institute of ob/gyn llc,
HWFJ,Kissimmee family dentistry,
M2FT,Anchor medical group,
YHLS,Aries physical therapy,
YQD2,A+ dental of aventura,
1Z26,Carlson dental group,
WGH3,Dynamic pain & wellness,
GP9H,Beachside animal clinic,
KJOU,Massage center of casselberry,
24VQ,Ignacio baez dmd ms,
ZT9I,Lee plastic surgery & laser center - port st. lucie,
ODJ8,"South florida dentistry for children, p.a.",
ELJO,Great expressions dental centers - twincourt trail,
GPQC,Fyzical therapy & balance centers,
R1JI,"Bonita grande dental: michael gostigian, dmd",
DGTJ,All about kids pediatric dentistry,
FG6K,Certified marijuana doctors,
19Y9,Perfect smile dental studio,
00WV,Jacksonville family dentistry,
F63E,Harp pediatric dentistry,
F3GD,Glow dent doral,
IGAP,Oakfield dental @ brandon,
S0P0,Orlando family physicians,
89T8,Envision dental,
93VX,Prc alliance pain relief centers,
3KIE,Publix pharmacy at hialeah plaza,
IG3W,Oviedo dental center,
3PAT,Crovatto & edwards family dentistry,
U8VF,Contour aesthetics clinic,
XTQ1,Publix pharmacy at casselberry commons,
XS3Y,"Dr. nicholas b. rowley, dmd",
L3EI,Smooth sailing dental - dr. roger long,
71H8,Chambers medical group,
IA77,Bons orthodontics,
7IV0,A1 dentistry,
062V,Exceptional dentistry of sarasota,
SW5F,"Dr. neeraja jasthi, dmd",
DY7D,Edge animal hospital,
A3EG,"John r. lindeman, dds, pa",
AWYQ,Dental implant solutionz,
I9EK,Fitness quest physical therapy-ellenton/parrish,
FCZL,Dental health services-citrus park,
RH1G,The releaf clinic,
MUMT,Ortega dental,
B0W7,Clermont community pharmacy,
7Q6K,Athena medical group,
5YF3,Leon medical centers east hialeah,
XAKP,"Scott roseff, md",
P867,Bartram park family ent,
GHDC,Pediatric dental associates,
L1AU,"Dean, horwitz & associates dds pa",
VQ8V,Jackson pharmacy - jackson memorial,
DQ3N,Sole health medical center,
UD8H,Town commons animal hospital,
O6FU,West palm behavioral health,
PK9V,Aspen dental,
N3LX,Comprehensive health center,
4GAN,Christie dental of ocala central,
ULLM,Beauty glam studio,
4WMK,Women's care florida @ mease medical arts bldg,
BJ25,Prestige dental & laser care,
L6YA,Grace point,
RXT7,Today's dentistry,
6RZR,Publix pharmacy at the village center,
4F51,Md now urgent care,
2WBM,Wallace fitness world class personal trainers,
WVRJ,Perfect b med spa,
J3K3,Alafaya family dentistry,
JSKD,Steve's pharmacy,
PZAT,"Cook family dentistry, p.a.",
6XVX,Highlands medical specialists - internal medicine,
7PEW,"Trinity health center: nader said, md",
JHAO,Bayfront dental,
0QB5,Tyson eye,
