id_nombre,nombre,nombre_normalizado
PO4I,The eye institute of west florida,
N1AX,Symmetry physical therapy,
95FL,"Sherief khalil, md",
IEP4,Medexpress urgent care,
R8E1,Fox medical centers - westchester,
X4G5,Dental associates of florida - lutz,
TBTW,"A dentist just for kids - wellington & boca - dr. francisco jimenez, dds",
PVUE,Orthopaedic associates of west florida,
NYQZ,Miami beach dental center,
ZX88,Nabors family & cosmetic dentistry,
R3FH,Saint george medical center,
7VF4,Quigley eye specialists,
ERGS,Best day fitness,
MRH2,Midtown dental,
WGGH,The miami medical center,
OTC7,Smile sarasota,
27UK,Lake conway primary and urgent care clinic,
D02B,Charlotte behavioral health care,
J33R,Florida department of health in hillsborough county,
MKHK,Advanced dental wellness of fort lauderdale by dr. lipovetskiy,
YFTU,Dental care at verandah,
LI3F,"South tampa cardiology: alberto morales, md",
0ERA,New dimensions wellness inc.,
R139,4th street family dentistry,
IQ7N,Island tower dentistry marco island,
EFN9,"De cardenas dental clinic, d.m.d",
SZBN,Dr. abbo advanced dentistry,
AFJZ,Trés jolie medical spa,
AZ6G,Greenbriar rehabilitation and nursing center,
09NT,After hours pediatrics urgent care - oakland park,
HXWQ,Kidzvil pediatric dentistry,
UR4P,After hours pediatrics urgent care - north tampa,
MENR,After hours pediatrics urgent care - south tampa,
YWK8,"Peter brockman, d.c.",
OGMW,"Kathryn e. ryan dds, ms, pa",
4VMH,Smiles by design dr steve p milios,
7AFI,Publix pharmacy at west lake commons,
JP19,Palms medical group,
DES5,Ferrara dental,
ZHJI,"Sandeep v. patel, dds, pa",
CYD3,Pruitthealth - santa rosa,
U0A1,Sense of skin,
ISH5,Sage dental of winter park,
UFE2,Dentist of miami and orthodontics,
V3GK,Moroccan hammam & day spa,
8WI3,All smiles dentistry,
FSS0,Peacock dental - mirela giurgiu dds,
6IVW,Best care pharmacy,
7KOG,Natural smiles of orlando,
8T5I,Modern dental care,
Z27V,Atlas smiles,
2CDN,Mark w hollmann md,
FFN6,"Dental laser center llc , dr. andrea d. gordillo d.m.d. p.a.",
NLE3,Physical medicine center,
3WQN,Tiny teeth of tally,
TMC2,Great expressions dental centers - west chase,
LLKH,Dentists of sanford,
0C20,Tallahassee plastic surgery clinic,
8XQM,Abc optometry,
6QM3,"Champagne dental, george e. hitzel dds & associates",
EOTL,Concourse dental care,
ML59,Surfside dental center,
RA62,"Dr. gary yanowitz, dds",
WLP7,Ideal smiles dental care,
MA07,Laser center of orlando,
SRLV,Palm beach orthopaedic institute: west palm beach (flagler dr at gsmc),
EL1C,Renee's place,
HBXC,Judy & la-paradisus microblading & permanent makeup and training,
9FGB,Iselborn health and wellness,
97T5,"Dr. natasha radosavljevic, dds",
IBGP,"J. timothy doerner d.d.s., p.a",
O4L3,Village dental,
2OWJ,"All natural md brandon - marijuana doctors, cards, clinics",
9RYE,Mark blum dds,
I75Z,Jackson behavioral health hospital,
OWAK,Adventhealth connerton,
FH2H,Advanced dermatology and cosmetic surgery - orlando - baldwin park,
9T5P,"Lauren leavitt, pa-c",
GDD6,Mackenzie dentistry,
Y9JQ,Commcare pharmacy,
RB5M,Great expressions dental centers - palm harbor,
XH7X,Pittington counseling services,
VVMK,"Dr. michael s. green, dmd",
PVYE,Therapy & sports center,
V3ZF,Axis natural medicine,
RKRZ,Heidrich & heidrich dentistry,
1SMR,Watson dental care,
X3MG,Main street animal hospital,
L8ST,Robinson family clinic,
6YKG,Cvs,
HLQ1,Rangel medical center,
JE7N,Lakeview healthcare system,
MFTA,Cosmic smiles pediatric dentistry,
80EI,Compassionate care animal clinic,
D9VD,Biovital medspa llc,
7JBR,Central florida bone & joint institute,
QMVY,Rockledge dental,
72C8,Affordable dentures & implants,
AHMI,Baptist health clinic at walgreens,
VUIV,Dr. luz elena cabrera dmd- family and cosmetic dentistry of temple terrace,
D056,Superteeth pediatric dentistry of miami,
DD0S,Tampa general hospital transplant institute,
XBPV,My bodyworx wellness,
T8K4,Ivf florida reproductive associates,
4XG2,Aps pharmacy,
29I7,Cora physical therapy west pembroke pines,
BLOK,Flamingo road animal hospital,
ONWW,Sarasota center for digestive disease,
DTZ9,Pijut lawrence j dds,
EH52,The nines parlor tattoo daytona beach,
0V3I,Heartland discount pharmacy,
VKHE,"Emilio juncosa, md, facog",
5I2X,Johnson orthodontists,
GTZC,Pediatric dentistry & orthodontics,
WDT1,Palm dental center,
TGWW,Doctor4uclinic urgent care,
FGDR,Dolly's animal clinic,
3WEM,Charming smiles of ocoee,
M4NE,Valiente dental,
S4QI,Publix pharmacy at pine lake plaza,
DQTU,Eriks dental group of boynton beach,
S43S,Family health source - deland,
KVF0,"Caggiano, christopher, do - physician associates, llc",
YADJ,Petit smiles: pediatric dentist in coral gables,
7X4X,Samantha taylor fitness,
0BZ6,Emerald coast behavioral hospital,
XCFH,Callahan animal hospital,
93V7,Holy cross urgent care and imaging center east boca,
F4OD,Treasure coast community health (tcch) central,
LS24,A new you weight loss and rejuvenation center,
K0UM,Cora physical therapy doral,
0TLA,Duval pharmacy,
RFXN,Palm harbor animal hospital,
YBAJ,Marshall family chiropractic jacksonville,
G2U4,Rx express of milton,
6FGB,Nuva dental,
TLNN,Randy l. furshman d.d.s.,
WPYL,"Anthony lewis, md",
0A5Y,Garazi periodontics and dental implants,
6ZTG,Palencia pet clinic,
KBV7,Rice orthodontics,
KAJ7,Publix pharmacy at sorrento hills village,
CO9D,Cora physical therapy riverside,
5JLN,Holistic dentistry and aesthetics,
94IJ,"Dr. eddie armas, md",
VCB8,Royal palm veterinary center,
5JVF,Southern style dental,
XT41,Rooted zen healthcare medical marijuana,
5FBP,Jackson memorial hospital pth,
9UZ9,Alafaya dental care,
MQC9,"Michael r. dorociak, dds, magd - sarasota family dental",
JZ3I,Med spa & wellness center,
HSL3,Hohman health and wellness,
V4I3,Sandbay primary & urgent care - clearwater,
9X3M,Tampa sedation & family dentistry,
Y3VE,Carrousel of health,
AGQ6,Personal attention dental center,
38OI,Animal kingdom veterinary center,
GDGX,Florida cancer affiliates - north florida,
RRDW,"Q-spa: facials, microdermabrasion, peelings",
56VE,Del rio family dental inc,
F6AN,Soma medical center p.a. adults - lake worth,
5CM7,Gemini obgyn,
C3O8,Safari animal cinic and laser center,
03JT,Lake eola dental,
SSSS,Mid-florida endodontics-kissimmee,
HHPH,Amaury o valle dmd,
N35C,Care wellness center,
DZE9,Eyes of winter park,
HBH6,"Neurocare institute of central florida, pa: hal s pineless, do, facn, faan",
D9DR,"Children's orthopaedic and scoliosis surgery associates, llp",
PNXP,Titusville smiles dentistry,
5Y0N,West cape family dental,
RTHU,"Fleming island family dentistry - dr. margaret lessig dmd ""extra safety precautions""",
JX44,Gulf coast pharmacy,
3QDU,Halifax health - child & adolescent behavioral services,
V21W,Comfort dentists of plantation,
K3GK,Elite medical spa of sarasota,
A7TB,Medical arts pharmacy,
9RDD,Cora physical therapy melbourne,
3YLZ,Parkway dental associates,
SEQU,Integrated chiropractic,
EK89,Wayside family dental,
XUYD,"Dr. jamie w. odom, dmd",
NF9Y,Family medical doctors,
3EI0,Good shepherd pet hospital,
F9Q9,Llera dental,
7LD9,Massage envy,
481F,Neuro network partners,
SVEP,Michaux family chiropractic,
PAT5,Next level strength & movement,
VEKW,Advanced dermatology and cosmetic surgery - jacksonville - chimney lakes,
HNC6,Miami international cardiology consultants - miami lakes,
12W7,"Radiance endodontics, dr. sheila chandrahasa dmd",
6T9G,Hirschfeld jack j dds,
1Y16,Center of revitalizing psychiatry,
SPVG,Wells pharmacy network,
BN4K,Baptist health primary care | pinecrest,
L551,Mariscal pediatrics and family medicine,
1PL2,Premiere dental care (south dade/dr. hui),
V3UA,Bayway dental,
Q7OJ,Smiles & co. pediatric dentistry,
GPAY,"Smiles of orlando: javier e. martinez dds, ms",
3J0Y,Riverwalk dental group,
8GI8,"Dr. stanley f. stockhammer jr, do",
Z2II,Deland quick care-urgent med,
W4ZP,Marijmd,
YUMQ,Dream smile center: dr. jeff bartlett & dr. isabel castillo,
WDDG,Animal clinic of west lake worth,
CX8L,Palms dental care,
3XBO,Community eye center,
0BG1,Parkway veterinary emergency clinic,
0JLH,Bay dermatology & cosmetic surgery,
IMLO,Lice away today,
SJSJ,"Physician's group, llc",
SBAX,Stephen m reed md,
UZC9,"Central florida psychiatric associates, pa",
QFMR,Heron creek animal hospital,
XMUY,Quick care med,
GRS7,"O'sullivan, deluca, & ressel dental care",
DVPA,Periodontal solutions: jorge l ramirez dmd,
KQVV,Physicians skin & laser,
EE7I,Care resource community health centers,
G9L9,Native palm animal hospital,
17BL,"Todd a. kovach, md",
83EV,Skycrest animal hospital,
GG1O,"Bond w. thomas, dc",
N1C3,Eyelid surgeons of tampa bay,
K4GW,Enchanteria day spa,
JYDW,"Dr. ronald k. roessler, dmd",
29K6,"Steven g. mautner, d.d.s.",
IVLC,Smileworks kids dentistry,
MPAM,First coast heart & vascular center - jacksonville,
YPLJ,The weekend spa,
PCWI,Moving waters massage & spa,
8C4G,West melbourne health and rehabilitation center,
K7J3,Island veterinary hospital,
3OQR,Kinetix physical therapy,
DUFA,Women & teens healthcare,
LWGO,Dr. kate's pet clinic,
I5PQ,Cats inc,
5Y4G,Orlando pharmacy,
IQ88,Cancer care & urology of north florida,
XXOF,Advanced dental concepts,
LXSU,Medmen tallahassee (thomasville rd.),
SE86,"Edocmmj - lakeland medical marijuana cards, doctors, clinics",
UGT8,Coastal sunrise animal hospital,
3Y5Q,"Cesar hurtado, dds",
71JO,Snap fitness,
K47Q,Thrive nutrition deland,
V53K,Momentos 3d4d ultrasound pembroke pines,
2IVU,Vca central park animal hospital,
XBFT,Acupuncture and oriental medicine at acumed usa,
DK9P,Ideal dental of lee vista,
9LH9,Dental center at aventura,
OALC,Olam med spa,
SRW8,St. pete family & cosmetic dentistry,
Z6RV,Michael n newton md,
ZML5,Center for reproductive medicine,
YX73,Waterside dental-venice island,
1BKT,Amana medical center,
VSEK,Medical centre of lehigh acres,
Y2F6,Catlin dental group,
BGWY,Mai dentistry of st. petersburg,
UGFV,River point behavioral health,
59VN,Whole child pediatrics,
7TRR,Mydoc women's health specialists,
5YU0,Miami shores modern dentistry,
881S,Tgh brandon er,
D1DP,Bright horizons dental - dentist boca raton fl,
U9R4,Dedicated dental group | invisalign & laser dentistry parkland,
UNGD,Dr. cesar rosa,
JT0A,Conviva care center westland,
M40Z,Bright young smiles,
RQ57,Bellagena skincare studio & spa,
PAA0,Zephyrhills community pharmacy,
XWB0,Gentle dental associates,
S2E0,Center for health and wellness,
D45T,Dental care of deerfield beach,
HJ1A,Publix pharmacy at northgate shopping center,
260X,St. lucie family dental,
IPIC,St lucie eye,
FLLX,Any lab test now,
IHDY,Vanity cosmetic surgery,
KIQP,Uf health hialeah dental center,
BL2L,Care medical centers,
9WG0,Gainesville internal medicine physicians,
WRD4,Salon dahlia,
OS68,Little house pediatrics llc,
XTH8,Wafa brows and permanent makeup,
LPHN,"Premier community healthcare, spring hill family health center",
WKQ2,Community health northwest florida - fairfield dental,
563V,Back to work physical therapy - brandon,
FU50,Beautiful smiles - north miami,
57IZ,I love my dentist,
A1XV,Oak dental care,
QDWT,Strokes of genius microblading,
6COF,"Face naked studio, permanent makeup academy and spa",
78JY,Cardenas pharmacy,
79QS,Little road pharmacy,
C1YP,Dental american group - west flagler,
9N6Z,"Dr. paulami guha, md",
CCJY,Pediatrics by the sea,
W4NC,Long island ink,
JIRF,First choice physical therapy,
GEB6,Farnham dentistry,
WMGF,Magic touch dentistry,
2TFK,Mcgregor dental at mcgregor point,
ISMK,Rockledge discount pharmacy,
P1CS,Bendayan obgyn,
JEL8,Merritt island discount pharmacy,
0EPM,Centerwell senior primary care,
LB46,Dream team dentistry,
R3EO,Benzer pharmacy,
IMVH,Navarro discount pharmacy,
55O6,Orange city modern dentistry,
DDJK,The leopard lily permanent makeup studio - microblading expert - cape coral,
7J3E,Pet vaccination clinic at tractor supply co. - veterinarian,
P521,Guidewell emergency doctors,
52VD,Flamingo commons dental,
81OM,Dr. thrower's skin care,
L27N,Pet calls animal hospital,
0F42,"Dr. ralph garramone, md facs",
FX4T,Florida sports & spinal rehab,
UB43,Florida surgery consultants | spine & orthopedics,
40K1,Banfield pet hospital,
NAKA,Hillcrest plastic surgery and dermatology,
92D5,"Dr. kevin vera, dds",
YJTT,Fertility care: the ivf center,
FP7Y,Great expressions dental centers - fort pierce,
EMC3,"Dr. nisseth urribarri-clark, md, obgyn",
JNWD,Southeast veterinary neurology,
KL55,Florida joint care institute,
BWXH,Urology | university of miami health system,
BL5D,Cornerstone dental lakewood ranch,
H2WB,Smile viera dentistry,
NUPV,Integrated physical therapy,
69GW,Sage dental of downtown fort lauderdale,
3GC8,Skin care by taylor,
S12U,Riverside dental: michael d. spencer dds,
27YR,Publix pharmacy at arlington river,
0R8D,Harborview pharmacy,
M41U,Emerald hills medical center,
4Y53,Pensacola kids dentistry,
86UF,Dr. bridget bellingar do & associates,
TBHS,Prohealth family physicians,
NH52,Break the cycle,
ONMQ,Dental designs of lakeland,
P092,Dr. effie yao dds pa,
LU0E,Blue dreams smoke shop,
FSJT,Marquez pharmacy,
P9GQ,North miami dental group,
OBLU,Florida orthopaedic associates & walk-in clinic,
C54C,Florida orthopaedic associates,
C2JF,The villages health colony care center,
A2BS,Bela vida urogynecology,
PBDR,Port orange dentist,
CXE4,Hollywood smiles family dentistry,
K5XX,Tampa advanced dental solutions - prosthodontic and implant center,
YWMK,Regency dental,
KEFM,Publix pharmacy at darwin square,
3D9J,"Susanti k. chowdhury, m.d. pa",
639Z,Blountstown health & rehab center,
Y90P,"Howard a goldman, m.d., p.a.",
DGBU,Bergens periodontics & implant dentistry of daytona,
Y5GQ,Total patient care of ocala,
OOA4,Kelly crossing animal hospital,
GI58,Allen's ridge caladesi animal hospital,
4CFD,Alliance dental,
UYHP,Kings pharmacy coral springs,
96EY,Ocala dental care,
51WF,Miami acupuntura 1,
C1M8,Synergy health & wellness,
ZXS9,Optimal performance & physical therapies - clearwater,
15WP,Doctor's medical center,
LJUE,Marijuana doctor palm bay,
J0NR,Space coast microblading & permanent makeup,
M3SU,West villages animal clinic,
X9LP,Great expressions dental centers - normandy,
GBYN,"Jeffrey s. prieto, dds",
NFLJ,Maitland animal hospital,
N4YQ,Lakeview dental of coral springs,
EY81,Family dental at wildlight,
BRYV,Publix pharmacy at edgewater commons,
OLMP,Florida city dental,
BYCU,Classic ink tattoo studio,
K1UE,Creative dentistry,
SQ9B,Pill box pharmacy & medical supply,
XM2R,Pembroke pines dental solutions,
6HQ3,G & r pharmacy,
CO1A,Capital regional bariatric center,
XEDA,Precision health center,
TL5O,Women's health specialists,
BAE8,The dentist place,
KYDN,Elite dentistry,
WGRX,Imray and gesek orange park,
IJGH,Stuart pediatric dentistry,
F5CB,Cedric c chenet dds pa,
NJQQ,Curahealth jacksonville,
MZW5,Lobaina dental,
CPIZ,Forever young medspa,
VSTH,Lakeland va clinic,
5XBY,Locatel medical equipment & pharmacy,
O5E9,Livewell pharmacy,
9VS4,Melbourne family dental,
W954,Forest hill animal hospital,
EW7U,Heart and health institute - cardiology,
RI8P,Conviva care center north miami beach,
9T5G,Helix urgent care - palm beach gardens,
1D0V,Path medical - north tampa,
OPXV,Summerlin animal hospital,
P8YJ,The animalife veterinary center,
U4OF,Winter haven dental,
3PVR,Coastal obgyn specialists,
0JLO,Great expressions dental centers,
44SM,"Premier community healthcare, zephyrhills family health center",
TX3I,"Michael salazar, dds",
8Z69,Institute for non-surgical orthopedics,
VKX8,Jacksonville orthopaedic institute,
UBNP,Myerlee pharmacy,
8JDB,Jackson north medical center (hospital),
6FO5,"Dr. kenneth e. pyle, dds",
WGWH,Gables sedation and family dentistry,
WD65,"Steelhouse fitness miami, inc.",
9X8G,Complete care,
WMO6,Belen medical centers,
W08N,Art dental studio,
Y5UU,Lake wales dentistry,
Q7HG,Magic dental care,
PDDG,The herb clinic​,
15U8,John b. mccabe dmd dentist,
BMZX,Ed fraser memorial hospital,
JZ84,Dental care group kids,
DIOK,Emerald coast chiropractic - miramar beach,
NP81,Freeman orthodontics,
5CS8,"Silver lakes dental associates, p.a.",
VEGK,"Dr. sunil k sharma, md - best bariatric gastric sleeve, gastric bypass, duodenal switch, hiatal hernia and reflux surgeon jacksonville, florida",
02WI,Smiles of boca,
7VYL,Daytona pediatric dentistry,
CZQE,Sage dental of lake worth,
MNZE,Muscle eze medical massage,
BZG8,Nuviva medical weight loss clinic of lake mary,
8ZBG,Adult & child counseling & psychiatric center,
V9YO,The franz center,
EWCC,Modern periodontics,
KG29,Good care animal clinic,
0BL2,Harmony united psychiatric care - gainesville,
FLAY,Advanced dermatology and cosmetic surgery - orange park,
6Y89,The dentist place of clearwater,
STMH,Emerald shores pet hospital resort and spaw,
8QTP,Waterside dental - venice,
NAVE,Navarro dental group,
8OT0,New life medical,
O8TS,Southside medical center-harold laski md,
ABE4,Cora physical therapy oviedo,
C8GF,Palm beach orthopaedic institute: palm beach gardens,
61IJ,Lofton creek smiles family dentistry,
XN4M,Jupiter dental care,
XJH8,American pediatric sedation center,
WVL7,West sunrise dentistry,
ODT7,Dr. james spencer,
3P8A,Beach dental studio,
NW5H,Adventhealth medical group pediatrics at lake mary,
8GDW,Forest park dental,
LCZC,Z-roc dermatology,
EOQL,Babies & beyond pediatrics,
ULU4,Health first's palm bay hospital,
U7EO,Wellspring health and sports performance,
1KKX,Veterinary emergency clinic,
GGOX,Statler orthodontics,
1897,Sky lake animal hospital,
CSGI,Absolute wellness center,
F25Z,Romagosa barron dermatology,
779P,Pine forest family dentistry,
WCUV,"Manocha, mcsoley & balan",
T8UK,Kidzone dentistry pa,
4U5Z,Pannu laser & vision institute,
RNOP,Elite dental & aesthetics,
1GHJ,Exceptional urgent care center and telemedicine,
VKSX,Winter park pharmacy,
ZJLL,Pediatric dental group winter park,
4ATR,"Justin kearse, md: palm beach orthopaedic institute: west palm beach (southern blvd & turnpike)",
4DOI,Strupp/brumm cosmetic and restorative dentistry,
MYAR,Community dental care,
GKPI,Beaufils dental,
XJOV,Publix pharmacy at five points plaza,
C3MD,Vero ent associates,
Y6MC,North port animal hospital,
8SX0,Truecare family & implant dentistry,
3OZT,Greenwood pharmacy,
66PI,Animal house veterinary hospital,
VM2C,Kind care dentistry,
28I2,Bay area cardiology,
IA7H,Advanced dermatology and cosmetic surgery - plant city,
2T6B,Miami welfare animal clinic,
Q2FP,East orange endodontics,
68LK,Maxwell medical,
01OS,"Crescent lake family dentistry, damian l cullom d.d.s.",
OGLM,"Mulberry dental care, inc.",
EQ3G,Shepherd's hope health center,
TK1V,Medical marijuana treatment clinics of florida,
01SS,Acupressure mld,
ATNO,Sarasota complete dental,
E9A2,Smile every day dentistry & orthodontics of tamarac,
D5CX,Community health centers,
PKM0,"Little town smiles, pllc",
A8W0,"Dr. john a. birchfield, dds",
P6CI,Cross county dental,
65FN,Clearwater pain management associates,
SAK6,Great expressions dental centers - lehigh,
FF04,Carenow urgent care - jensen beach,
04OM,Cora physical therapy haines city,
6USC,Towncare dental associates of cape coral,
E8TK,Smile builders pediatric dentistry tampa,
B38S,Avriett dental,
E2HW,Largo laser dentistry,
5U91,Integrity dental,
ICAA,Blue water dental of st. johns,
CHJ1,Atlantic florida dental,
B050,Nob hill family chiropractic,
QO2W,Dr vincent preziosi,
PLJE,T-rx pharmacy,
VEF7,Publix pharmacy at forty east shopping center,
Q2X8,Gardens dental care,
4NIK,Beyouteeful obsession makeup & beauty bar,
S6VH,"Back in motion, sarasota physical therapy",
Q5QK,Baylee dental,
0MV4,The smile studio,
IHY5,Cora physical therapy east boca,
MTA0,Gables exceptional dentistry,
4FTZ,"Dr. matthew a. fox, dds",
B7T0,Dentilife - hammocks dental center,
CBHS,A woman's place,
0XLF,La-ti-da salon & spa,
GL6L,Cora physical therapy winter park,
1S83,Delta internal medicine center,
SE80,Moitoso dental,
4OW5,Beauclerc dental,
Q27A,Mandarin pet emergency hospital,
I0L1,Gateway care center,
P8H5,"Dr. christopher j. prusinski, do,faha,faan",
0ZM4,Valeria soltanik pa,
J1KX,"Valli subramanian, m.d.",
YH1R,South florida orthopaedics & sports medicine ortho injury walk-in clinic,
1XH9,Center for dental anesthesia,
5Y1Z,Vital dental center,
03JM,Florida department of health in marion county,
NWCD,O'grady orthopaedics,
O2SC,Bear creek veterinary alternatives,
B1KL,Cora physical therapy lake worth,
Y9DJ,Doctors' memorial hospital,
LQGP,Alachua family dentistry,
TZP4,Woodlands medical specialists - urology,
CWN8,Tampa scalp ink,
MTJT,Boca general & family medicine,
VODR,Biospine institute - orlando,
JWBQ,"David e. donald, dds, children's dentistry of longwood",
GH1H,Beautiful orlando spa and cosmetic,
WJXJ,"Medical center of hollywood - family, cosmetic and ketamine infusion center",
7749,Innovative dental and orthodontics,
JKV1,Blountstown drugs,
OBY3,Ahf healthcare center - oakland park,
7C0V,Dr be,
GZ19,West florida primary care - w street,
IT1N,Gulf coast medical center,
K2KW,Boca village animal hospital,
8EN7,Bliss spa,
RFRQ,River mill animal hospital - dr. tammie hodge,
W75T,Aventura dental arts llc,
6DB9,Lake gibson dental center,
LESZ,"Wise chiropractic, p.a.",
XX2C,Newman equine & associates pa,
YFDH,Larroc dental,
7A1V,Ultimate image cosmetic medical center,
KD5P,Tampa bay bone & joint center,
GFWH,Animal dermatology & allergy,
4YIE,"Neurological health associates, llc",
ZBBW,Jaxx pharmacy,
19X6,Plantation health and wellness,
XB8U,Smile xperts family dentistry & orthodontics,
XI37,Abacus animal hospital,
RFZ0,Orlando health st. cloud hospital,
QU1E,Red salon & spa: fort myers,
ANVG,Shaker spine & sport institute,
ALHQ,Memorial primary care - hallandale beach,
LXZB,Mi40 gym,
SHXS,The allure spot,
DZUN,Tlc medical tampa,
HED7,Complete family dentistry,
U26E,Singer orthodontics,
P4HG,Elite health: north bay village,
0H20,Elitehealth medical center,
ZKRI,"Steven gorin, d.o.",
AZF0,Agnini family dental,
MGQI,Albert family orthodontics,
EXTL,Plantation dentist - my dentist for life of plantation,
7KTY,Sono bello ft. lauderdale,
T1ZP,Normandy dental office,
S8UO,Connerton dental care,
X9CQ,Animal medical clinic of the palm beaches,
7TP2,One dental centre,
GG3R,Pain relief centers,
I87V,"Tampa mobile veterinary services, llc / jeanne hart, dvm",
FNGM,Lifepath hospice,
6PZ6,"The dental lounge of pompano beach: dentist, implant, all-on-4 specialist",
Q811,Miami beach family & sports chiropractic center,
Q9UE,Watts dental apollo beach,
C6KE,My tamarac dentist,
PYN0,"Tina m thomas, dmd",
MOIC,L.g. cosmetic center,
6HDP,Rfc - rice family chiropractic,
CPEL,"John d verville, dds",
CVEB,Splash! pediatric dentistry,
G1DM,"Andres ruiz, md, facc",
WN5B,Ross medical group,
AT66,A pet's place of clearwater,
6ORG,Tampa family health centers,
4HU1,Southpark dental group,
6DXJ,Happy smiles fort myers,
AX5F,Mint dental miami,
4G08,Ultimate smile design,
YXU4,Serenity family dentistry,
JA92,Fara bender dmd pa,
20GK,"Stephen w. eubanks, m.d.",
5766,Friedman dental group,
PY9U,Lavish nail bar & beauty lounge,
U9JW,Howell branch dental care,
FRQ5,Medical eye associates,
JVBW,"Somi dental group, inc",
23GS,Night lite pediatrics urgent care oviedo,
Y6BF,Sono bello orlando,
2R5L,Path medical - north miami,
6TX1,Kids only dental place,
GP51,Ideal dental of lake nona,
9F9F,Dental specialists of broward group,
OWAY,Skin geeks,
P5TX,Broward dental,
O4PP,Addison dental (mint dental) dr. addison and dr. diaz,
QQZ2,Unique imaging,
P8IY,Loxahatchee dental care,
FYOQ,Physician partners of america,
Y7RG,Cantor spine center at the paley orthopedic & spine institute,
AXWX,Bofshever chiropractic center,
1CHJ,Urgent care of the palm beaches (west palm beach location),
G8QH,Sandbay dental - belleair,
5AER,Great expressions dental centers - coconut creek,
X2VN,The kids dental practice,
87U1,Physical medicine institute orlando,
PRQH,The wellness center by dr. mignon,
XHLP,Suncoast orthopaedic surgery & sports medicine,
5X25,"Manatee children's services, inc mcs child advocacy center",
J1UH,Sports recovery annex,
AT4M,Skin and cancer associates,
JU11,Angel kids pediatrics,
CQ6D,Aesthetix skin & surgery,
L5FN,Tantastic tanning,
SF47,Brevard family walk in clinic,
02H2,"Joseph r. boulter dental, dmd, magd, dicoi implant and esthetic dentistry",
4IZZ,Karen burns dmd,
TEIZ,E dental,
8KQ8,Natura sugaring melt & wax spa,
S2P9,Phancore wellness,
1GX8,Habashy dental - dentist in palm beach gardens,
W9FF,Family cosmetic dentistry,
MTUU,"Pinellas endodontics, pa",
H551,"Acosta dental arts - acosta, adrian",
O3BV,Sage dental of pinecrest,
AT4P,Sage dental of west kendall,
PP5R,Clearlyderm dermatology surgery and vein center,
HPLE,Kidz pediatric multispecialty center,
TCVB,Family health source - deltona,
QH2W,Skin wellness physicians,
6HI6,Radiant expressions dental | dental implants & dentures,
PYMK,The medicine shoppe of largo,
XZCS,All aspects dental,
N5WH,The spine clinic - dr anthony caruso : chiropractor,
HP00,All friends animal clinic,
L7PW,"Gerald a cioffi, dmd, pa",
3EXD,"Dr. joan m. flores, dmd",
8986,"Lighthouse dental & denture ii: david petrik, dds",
Z1P8,South lane animal hospital,
6U3L,"Island paradise dental, dr. robert j. abbiati, dds",
TOO5,Florida dermatology and skin cancer centers,
OTWS,Keystone heights animal hospital,
D4I4,Ahf healthcare center - safety harbor,
9VD3,"Growing healthy smiles pediatric dentistry - drs. beth kailes, nicole staman & allison johnston",
CSLC,Cobblestone family dental - holistic practice,
42XU,Dermatology specialists of florida,
XI1S,"John garcia, dds",
U65X,Associatesmd: dr. harracksingh & dr. jean-pierre,
2OEM,Adventhealth fish memorial,
EUV2,"99 cents store plus beauty supply, simple mobile, net10, verizon, at&t, sim cards, iphone repair, xfinity, hotspot",
W8IB,Publix pharmacy at shoppes at avalon,
HS7P,Bernard cannabis center,
QXNS,"Happy smiles, mamata ponnaganti, dmd, pa",
CU4I,North port oral surgery & dental care,
CG8X,Ivfmd,
1C1W,Advanced dental care of quail meadows,
RH78,Solaris healthcare windermere,
79LX,Windmill chiropractic,
BDQE,Your eye specialists (weston),
H2HD,Consulate health care at west altamonte,
QJR2,Helpet veterinary center,
QNYL,Watson clinic highlands,
XLGC,Care plus walk-in clinic,
D0BQ,Ucf health - east orlando,
O271,Plaza north dentistry,
5FY0,Hunter's creek dental center,
3VWA,Urban zen bodywork,
BXIY,"Davis, roberts, boeller, & rife",
PI0O,"John p. krueger, dds, pa",
WKEQ,Carenow urgent care - winter springs,
AIO6,"David j bennett, dc",
C639,Miracle dental center,
9DIK,"Miami international mall dental, p.a.",
BVZH,Lakeland volunteers in medicine,
Z9QZ,Jacaranda animal hospital,
ZJ32,Sunrise dental group,
MA7B,Plant city family care - suncoast community health centers,
JD11,Florida eye specialists & cataract institute - ruskin,
PHF5,True view dental,
F4XN,Mid florida eye center,
ECDL,Revamed primary care associates,
XWLY,Comfort beauty spa,
603L,Dermacare brickell,
MHDG,Sage dental of east delray beach,
A1UR,Icon medical centers,
S1YS,Sunset pet hospital,
6I3C,"Dr. alfonso j. henriquez soma medical center p.a. #3 ( best pediatrician in west palm beach & wellington , fl )",
PAGZ,Medclub by dr. jenn | botox & functional medicine,
DMEZ,Family dentist of palm beach,
YWZ9,Animal medical clinic of gulf gate,
GJOE,Hammock gardens dental care,
IYER,Acute care chiropractic clinic,
6ENE,Jog lantana animal clinic,
1QG6,Genesis community health: boynton beach medical,
898A,"Dr. rebecca downie, dds",
MWQJ,Pearl of the sea retreat,
MNNZ,Mate & huaman,
FF49,Smile practice family dentistry,
096J,"Dr. david r. williams, dds",
QE44,Miller road animal clinic,
OC46,Dentistry at lake nona,
0IKL,Orlando periodontics and implants,
